GateI,GateV,DrainI,,
5.74E-07,7.00E+00,1.23E-06,,1.23E-05
4.72E-07,6.50E+00,1.03E-06,,1.03E-05
3.84E-07,6.00E+00,8.47E-07,,8.47E-06
3.14E-07,5.50E+00,6.92E-07,,6.92E-06
2.41E-07,5.00E+00,5.52E-07,,5.52E-06
1.82E-07,4.50E+00,4.31E-07,,4.31E-06
1.33E-07,4.00E+00,3.26E-07,,3.26E-06
9.29E-08,3.50E+00,2.39E-07,,2.39E-06
6.51E-08,3.00E+00,1.67E-07,,1.67E-06
4.06E-08,2.50E+00,1.12E-07,,1.12E-06
2.41E-08,2.00E+00,6.91E-08,,6.91E-07
1.09E-08,1.50E+00,3.84E-08,,3.84E-07
3.21E-09,1.00E+00,1.83E-08,,1.83E-07
-4.44E-10,5.00E-01,5.79E-09,,5.79E-08
-1.10E-09,0.00E+00,6.63E-10,,6.63E-09
-7.02E-10,-5.00E-01,3.87E-11,,3.87E-10
-4.83E-10,-1.00E+00,2.81E-11,,2.81E-10
-3.46E-10,-1.50E+00,2.20E-11,,2.20E-10
-2.65E-10,-2.00E+00,1.80E-11,,1.80E-10
-2.11E-10,-2.50E+00,1.52E-11,,1.52E-10
-1.70E-10,-3.00E+00,1.33E-11,,1.33E-10
-1.38E-10,-3.50E+00,1.18E-11,,1.18E-10
-1.12E-10,-4.00E+00,1.07E-11,,1.07E-10
-9.88E-11,-4.50E+00,9.68E-12,,9.68E-11
-8.17E-11,-5.00E+00,8.97E-12,,8.97E-11
-7.37E-11,-5.50E+00,8.39E-12,,8.39E-11
-6.03E-11,-6.00E+00,7.89E-12,,7.89E-11
-5.59E-11,-6.50E+00,7.50E-12,,7.50E-11
-4.85E-11,-7.00E+00,7.18E-12,,7.18E-11
-4.01E-11,-7.50E+00,6.94E-12,,6.94E-11
-3.29E-11,-8.00E+00,6.67E-12,,6.67E-11
-3.24E-11,-8.50E+00,6.46E-12,,6.46E-11
-2.59E-11,-9.00E+00,6.30E-12,,6.30E-11
-2.14E-11,-9.50E+00,6.13E-12,,6.13E-11
-2.07E-11,-1.00E+01,6.03E-12,,6.03E-11
-2.03E-11,-1.05E+01,5.88E-12,,5.88E-11
-2.20E-11,-1.10E+01,5.84E-12,,5.84E-11
-1.65E-11,-1.15E+01,5.78E-12,,5.78E-11
-1.39E-11,-1.20E+01,5.63E-12,,5.63E-11
-1.42E-11,-1.25E+01,5.60E-12,,5.60E-11
-9.47E-12,-1.30E+01,5.58E-12,,5.58E-11
