# Date,2021-01-11 ¿ÀÈÄ 3:22
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
4.685000,1.000000,-1.547850E-7,40.000000,6.596920E-5
6.381000,1.500000,-2.744620E-10,40.000000,7.459260E-5
7.322000,2.000000,2.541590E-10,40.000000,8.592240E-5
8.262000,2.500000,8.348010E-10,40.000000,9.840610E-5
9.355000,3.000000,6.692870E-9,40.000000,1.119690E-4
9.581000,3.500000,8.460850E-8,40.000000,1.272820E-4
9.676000,4.000000,1.887200E-6,40.000000,1.439240E-4
9.716000,4.500000,2.454070E-6,40.000000,1.619440E-4
9.765000,5.000000,3.046100E-6,40.000000,1.812320E-4
9.814000,5.500000,3.700190E-6,40.000000,2.018560E-4
9.866000,6.000000,4.418210E-6,40.000000,2.238650E-4
9.915000,6.500000,5.202410E-6,40.000000,2.472740E-4
9.964000,7.000000,6.055120E-6,40.000000,2.721200E-4
10.033000,7.500000,6.978130E-6,40.000000,2.983660E-4
10.121000,8.000000,7.942320E-6,40.000000,3.259610E-4
10.160000,8.500000,9.043840E-6,40.000000,3.553770E-4
10.225000,9.000000,1.017280E-5,40.000000,3.861920E-4
10.277000,9.500000,1.143590E-5,40.000000,4.186890E-4
10.327000,10.000000,1.274820E-5,40.000000,4.527890E-4
10.377000,10.500000,1.414260E-5,40.000000,4.885540E-4
10.425000,11.000000,1.562190E-5,40.000000,5.259680E-4
10.476000,11.500000,1.718680E-5,40.000000,5.650460E-4
10.528000,12.000000,1.883960E-5,40.000000,6.058620E-4
10.579000,12.500000,2.058110E-5,40.000000,6.483870E-4
10.629000,13.000000,2.241510E-5,40.000000,6.926830E-4
10.679000,13.500000,2.434300E-5,40.000000,7.387850E-4
10.753000,14.000000,2.635250E-5,40.000000,7.864270E-4
10.803000,14.500000,2.847380E-5,40.000000,8.361420E-4
10.853000,15.000000,3.069280E-5,40.000000,8.877520E-4
10.920000,15.500000,3.299780E-5,40.000000,9.409690E-4
10.969000,16.000000,3.541110E-5,40.000000,9.963160E-4
11.019000,16.500000,3.793050E-5,40.000000,1.052660E-3
11.075000,17.000000,4.054560E-5,40.000000,1.111950E-3
11.124000,17.500000,4.327010E-5,40.000000,1.172990E-3
11.174000,18.000000,4.610460E-5,40.000000,1.236100E-3
11.223000,18.500000,4.903180E-5,40.000000,1.301090E-3
11.274000,19.000000,5.208250E-5,40.000000,1.368010E-3
11.329000,19.500000,5.522540E-5,40.000000,1.436920E-3
11.382000,20.000000,5.849570E-5,40.000000,1.507860E-3
11.436000,20.500000,6.189160E-5,40.000000,1.581200E-3
11.482000,21.000000,6.538950E-5,40.000000,1.656240E-3
11.553000,21.500000,6.898060E-5,40.000000,1.732790E-3
11.603000,22.000000,7.270050E-5,40.000000,1.811900E-3
11.653000,22.500000,7.655980E-5,40.000000,1.893510E-3
11.702000,23.000000,8.051180E-5,40.000000,1.976540E-3
11.752000,23.500000,8.458730E-5,40.000000,2.061770E-3
11.803000,24.000000,8.877560E-5,40.000000,2.149000E-3
11.857000,24.500000,9.309840E-5,40.000000,2.238160E-3
11.907000,25.000000,9.755970E-5,40.000000,2.330000E-3
11.975000,25.500000,1.020810E-4,40.000000,2.422860E-3
12.014000,26.000000,1.067910E-4,40.000000,2.518590E-3
12.062000,26.500000,1.116060E-4,40.000000,2.616120E-3
12.112000,27.000000,1.165470E-4,40.000000,2.716210E-3
12.160000,27.500000,1.216140E-4,40.000000,2.817700E-3
12.208000,28.000000,1.268170E-4,40.000000,2.921260E-3
12.256000,28.500000,1.321490E-4,40.000000,3.026770E-3
12.305000,29.000000,1.375820E-4,40.000000,3.134320E-3
12.353000,29.500000,1.431960E-4,40.000000,3.244500E-3
12.400000,30.000000,1.489160E-4,40.000000,3.355940E-3
12.448000,30.500000,1.547610E-4,40.000000,3.469290E-3
12.495000,31.000000,1.607500E-4,40.000000,3.584590E-3
12.544000,31.500000,1.669230E-4,40.000000,3.702760E-3
12.595000,32.000000,1.731810E-4,40.000000,3.821660E-3
12.644000,32.500000,1.795930E-4,40.000000,3.942590E-3
12.692000,33.000000,1.861360E-4,40.000000,4.065450E-3
12.740000,33.500000,1.928280E-4,40.000000,4.189970E-3
12.787000,34.000000,1.996780E-4,40.000000,4.317070E-3
12.836000,34.500000,2.066200E-4,40.000000,4.445150E-3
12.883000,35.000000,2.137360E-4,40.000000,4.575140E-3
12.932000,35.500000,2.210030E-4,40.000000,4.706670E-3
12.980000,36.000000,2.284800E-4,40.000000,4.840700E-3
13.046000,36.500000,2.360310E-4,40.000000,4.974910E-3
13.095000,37.000000,2.437610E-4,40.000000,5.111320E-3
13.143000,37.500000,2.516800E-4,40.000000,5.249350E-3
13.192000,38.000000,2.597480E-4,40.000000,5.388860E-3
13.240000,38.500000,2.680350E-4,40.000000,5.530780E-3
13.290000,39.000000,2.764640E-4,40.000000,5.673310E-3
13.338000,39.500000,2.851130E-4,40.000000,5.817320E-3
13.386000,40.000000,2.938990E-4,40.000000,5.962710E-3
