# Date,2021-01-11 ���� 3:36
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
67.586000,1.000000,-2.724610E-10,40.000000,1.318830E-5
68.526000,1.500000,-2.029850E-10,40.000000,1.624480E-5
69.465000,2.000000,-1.104600E-10,40.000000,1.961850E-5
72.123000,2.500000,3.585590E-12,40.000000,2.295490E-5
73.363000,3.000000,7.666700E-12,40.000000,2.696170E-5
74.604000,3.500000,1.251940E-11,40.000000,3.124300E-5
75.844000,4.000000,3.624080E-11,40.000000,3.589520E-5
77.084000,4.500000,4.517540E-11,40.000000,4.086680E-5
78.326000,5.000000,8.603970E-11,40.000000,4.619610E-5
81.020000,5.500000,9.739440E-10,40.000000,5.153250E-5
82.112000,6.000000,5.207140E-9,40.000000,5.755590E-5
82.242000,6.500000,6.395770E-9,40.000000,6.426190E-5
82.372000,7.000000,7.335370E-9,40.000000,7.140250E-5
82.501000,7.500000,9.788300E-9,40.000000,7.892700E-5
82.707000,8.000000,8.905030E-8,40.000000,8.671590E-5
82.798000,8.500000,1.673560E-6,40.000000,9.500040E-5
82.839000,9.000000,1.912370E-6,40.000000,1.037350E-4
82.908000,9.500000,2.142540E-6,40.000000,1.128390E-4
82.957000,10.000000,2.385130E-6,40.000000,1.222390E-4
83.006000,10.500000,2.642560E-6,40.000000,1.321450E-4
83.054000,11.000000,2.916160E-6,40.000000,1.424480E-4
83.123000,11.500000,3.202510E-6,40.000000,1.530430E-4
83.172000,12.000000,3.503730E-6,40.000000,1.641050E-4
83.222000,12.500000,3.818030E-6,40.000000,1.754970E-4
83.271000,13.000000,4.150580E-6,40.000000,1.871300E-4
83.321000,13.500000,4.492140E-6,40.000000,1.993840E-4
83.374000,14.000000,4.845650E-6,40.000000,2.117020E-4
83.426000,14.500000,5.215100E-6,40.000000,2.244620E-4
83.474000,15.000000,5.602950E-6,40.000000,2.375240E-4
83.524000,15.500000,5.997140E-6,40.000000,2.507910E-4
83.575000,16.000000,6.413920E-6,40.000000,2.646840E-4
83.624000,16.500000,6.842450E-6,40.000000,2.787640E-4
83.676000,17.000000,7.280000E-6,40.000000,2.931440E-4
83.724000,17.500000,7.734230E-6,40.000000,3.080870E-4
83.773000,18.000000,8.198080E-6,40.000000,3.229650E-4
83.820000,18.500000,8.677240E-6,40.000000,3.383360E-4
83.891000,19.000000,9.162870E-6,40.000000,3.538940E-4
83.941000,19.500000,9.667650E-6,40.000000,3.700030E-4
84.010000,20.000000,1.018580E-5,40.000000,3.867690E-4
84.056000,20.500000,1.074140E-5,40.000000,4.032930E-4
84.104000,21.000000,1.128390E-5,40.000000,4.202240E-4
84.154000,21.500000,1.183440E-5,40.000000,4.372270E-4
84.204000,22.000000,1.239780E-5,40.000000,4.544430E-4
84.254000,22.500000,1.297800E-5,40.000000,4.723790E-4
84.303000,23.000000,1.356150E-5,40.000000,4.902060E-4
84.353000,23.500000,1.416260E-5,40.000000,5.083490E-4
84.403000,24.000000,1.477200E-5,40.000000,5.267190E-4
84.456000,24.500000,1.539820E-5,40.000000,5.453560E-4
84.506000,25.000000,1.602360E-5,40.000000,5.640050E-4
84.556000,25.500000,1.665500E-5,40.000000,5.827940E-4
84.605000,26.000000,1.731130E-5,40.000000,6.019760E-4
84.669000,26.500000,1.794790E-5,40.000000,6.210630E-4
84.715000,27.000000,1.862510E-5,40.000000,6.407670E-4
84.762000,27.500000,1.930700E-5,40.000000,6.607060E-4
84.809000,28.000000,1.998100E-5,40.000000,6.802130E-4
84.856000,28.500000,2.066110E-5,40.000000,7.001610E-4
84.905000,29.000000,2.136000E-5,40.000000,7.200430E-4
84.950000,29.500000,2.206980E-5,40.000000,7.406140E-4
84.997000,30.000000,2.278100E-5,40.000000,7.609900E-4
85.045000,30.500000,2.350430E-5,40.000000,7.818160E-4
85.093000,31.000000,2.423980E-5,40.000000,8.026720E-4
85.141000,31.500000,2.500300E-5,40.000000,8.244180E-4
85.191000,32.000000,2.575020E-5,40.000000,8.456930E-4
85.238000,32.500000,2.652990E-5,40.000000,8.674940E-4
85.286000,33.000000,2.731060E-5,40.000000,8.890420E-4
85.333000,33.500000,2.808800E-5,40.000000,9.116750E-4
85.380000,34.000000,2.888890E-5,40.000000,9.331710E-4
85.428000,34.500000,2.967900E-5,40.000000,9.556240E-4
85.476000,35.000000,3.050430E-5,40.000000,9.783170E-4
85.524000,35.500000,3.132190E-5,40.000000,9.999570E-4
85.580000,36.000000,3.211520E-5,40.000000,1.022680E-3
85.628000,36.500000,3.300550E-5,40.000000,1.047410E-3
85.678000,37.000000,3.390080E-5,40.000000,1.070940E-3
85.725000,37.500000,3.476840E-5,40.000000,1.095830E-3
85.773000,38.000000,3.570900E-5,40.000000,1.121540E-3
85.821000,38.500000,3.661960E-5,40.000000,1.146600E-3
85.868000,39.000000,3.755310E-5,40.000000,1.170030E-3
85.916000,39.500000,3.837410E-5,40.000000,1.192290E-3
85.964000,40.000000,3.926990E-5,40.000000,1.218360E-3
