GateI,GateV,DrainI
17.8424E-12,-20.0000E+0,139.2377E-12
18.6594E-12,-19.5000E+0,121.2268E-12
24.3077E-12,-19.0000E+0,108.5788E-12
32.3161E-12,-18.5000E+0,99.4013E-12
32.1548E-12,-18.0000E+0,92.2678E-12
33.9602E-12,-17.5000E+0,84.8409E-12
37.2987E-12,-17.0000E+0,80.2370E-12
42.5133E-12,-16.5000E+0,76.2705E-12
46.5982E-12,-16.0000E+0,73.3058E-12
42.7453E-12,-15.5000E+0,69.3900E-12
45.7913E-12,-15.0000E+0,67.2752E-12
47.0824E-12,-14.5000E+0,64.3004E-12
49.5838E-12,-14.0000E+0,62.0541E-12
51.9642E-12,-13.5000E+0,58.3406E-12
55.9989E-12,-13.0000E+0,57.0050E-12
57.9658E-12,-12.5000E+0,55.1432E-12
56.1300E-12,-12.0000E+0,52.7451E-12
57.6935E-12,-11.5000E+0,51.4499E-12
60.4169E-12,-11.0000E+0,49.8310E-12
61.9905E-12,-10.5000E+0,48.3942E-12
66.1160E-12,-10.0000E+0,48.1614E-12
63.1202E-12,-9.5000E+0,47.3317E-12
62.2830E-12,-9.0000E+0,45.8544E-12
66.6708E-12,-8.5000E+0,45.5913E-12
70.5945E-12,-8.0000E+0,44.3265E-12
69.9792E-12,-7.5000E+0,44.1748E-12
69.5858E-12,-7.0000E+0,42.7886E-12
67.6794E-12,-6.5000E+0,42.1815E-12
71.6839E-12,-6.0000E+0,41.8780E-12
69.1925E-12,-5.5000E+0,41.2608E-12
71.3712E-12,-5.0000E+0,40.5627E-12
71.1090E-12,-4.5000E+0,39.8747E-12
71.3006E-12,-4.0000E+0,38.9035E-12
70.5643E-12,-3.5000E+0,39.2778E-12
70.7862E-12,-3.0000E+0,38.3470E-12
72.5110E-12,-2.5000E+0,38.1446E-12
73.3583E-12,-2.0000E+0,36.4449E-12
72.9447E-12,-1.5000E+0,37.2341E-12
74.3872E-12,-1.0000E+0,36.2628E-12
74.5586E-12,-500.0000E-3,36.8294E-12
76.2936E-12,000.0000E+0,36.2931E-12
66.7817E-12,500.0000E-3,130.5662E-12
50.7538E-12,1.0000E+0,2.5812E-9
85.6440E-12,1.5000E+0,14.0679E-9
82.1137E-12,2.0000E+0,38.3546E-9
120.7159E-12,2.5000E+0,74.6621E-9
267.7916E-12,3.0000E+0,118.4912E-9
360.4289E-12,3.5000E+0,145.2453E-9
411.0243E-12,4.0000E+0,159.8041E-9
446.9435E-12,4.5000E+0,167.1633E-9
480.5426E-12,5.0000E+0,170.7222E-9
540.9324E-12,5.5000E+0,174.5016E-9
631.7136E-12,6.0000E+0,179.9854E-9
952.2825E-12,6.5000E+0,188.8974E-9
1.6566E-9,7.0000E+0,218.8257E-9
2.3506E-9,7.5000E+0,248.1522E-9
2.8913E-9,8.0000E+0,272.7216E-9
3.7678E-9,8.5000E+0,297.4223E-9
5.5248E-9,9.0000E+0,324.2237E-9
6.5036E-9,9.5000E+0,371.8596E-9
8.5820E-9,10.0000E+0,409.9845E-9
11.7441E-9,10.5000E+0,519.8073E-9
25.1715E-9,11.0000E+0,590.8764E-9
33.5253E-9,11.5000E+0,999.4478E-9
42.5503E-9,12.0000E+0,1.0552E-6
57.4665E-9,12.5000E+0,1.1938E-6
64.6198E-9,13.0000E+0,1.4934E-6
76.3528E-9,13.5000E+0,1.7063E-6
88.8494E-9,14.0000E+0,1.8457E-6
117.0270E-9,14.5000E+0,2.2708E-6
152.8648E-9,15.0000E+0,2.8309E-6
160.5186E-9,15.5000E+0,2.9606E-6
193.1850E-9,16.0000E+0,3.4038E-6
259.3793E-9,16.5000E+0,4.2952E-6
316.7198E-9,17.0000E+0,5.1142E-6
312.0236E-9,17.5000E+0,5.0769E-6
362.1000E-9,18.0000E+0,5.7356E-6
421.7630E-9,18.5000E+0,6.5122E-6
484.6540E-9,19.0000E+0,7.3174E-6
519.7548E-9,19.5000E+0,7.7773E-6
575.5070E-9,20.0000E+0,8.5136E-6
613.9327E-9,20.0000E+0,8.9744E-6
596.7475E-9,19.5000E+0,8.8221E-6
499.2835E-9,19.0000E+0,7.6135E-6
419.8030E-9,18.5000E+0,6.5485E-6
406.8710E-9,18.0000E+0,6.3745E-6
403.0802E-9,17.5000E+0,6.3146E-6
332.0355E-9,17.0000E+0,5.4103E-6
296.6256E-9,16.5000E+0,4.9237E-6
250.9675E-9,16.0000E+0,4.3094E-6
219.2805E-9,15.5000E+0,3.8554E-6
199.0028E-9,15.0000E+0,3.5668E-6
178.8289E-9,14.5000E+0,3.2772E-6
158.3550E-9,14.0000E+0,2.9790E-6
134.6786E-9,13.5000E+0,2.6411E-6
115.4510E-9,13.0000E+0,2.3405E-6
103.0907E-9,12.5000E+0,2.1498E-6
86.4932E-9,12.0000E+0,1.8926E-6
73.3248E-9,11.5000E+0,1.6688E-6
62.1731E-9,11.0000E+0,1.4701E-6
50.4858E-9,10.5000E+0,1.2927E-6
40.4699E-9,10.0000E+0,1.1272E-6
36.2340E-9,9.5000E+0,985.0648E-9
28.5727E-9,9.0000E+0,884.5439E-9
18.5932E-9,8.5000E+0,718.1159E-9
12.1874E-9,8.0000E+0,570.1392E-9
9.3500E-9,7.5000E+0,500.9659E-9
6.6575E-9,7.0000E+0,384.9419E-9
4.9402E-9,6.5000E+0,331.3978E-9
3.3489E-9,6.0000E+0,272.5395E-9
1.6910E-9,5.5000E+0,226.4687E-9
1.1460E-9,5.0000E+0,163.4721E-9
571.2735E-12,4.5000E+0,137.9934E-9
234.0109E-12,4.0000E+0,100.7151E-9
64.4617E-12,3.5000E+0,79.1727E-9
32.7902E-12,3.0000E+0,48.5502E-9
27.5353E-12,2.5000E+0,25.3774E-9
30.8032E-12,2.0000E+0,9.2219E-9
23.8538E-12,1.5000E+0,1.6920E-9
29.0280E-12,1.0000E+0,83.5255E-12
33.4660E-12,500.0000E-3,39.0755E-12
33.0121E-12,000.0000E+0,37.3757E-12
36.4111E-12,-500.0000E-3,36.0200E-12
34.8579E-12,-1.0000E+0,35.1903E-12
33.1533E-12,-1.5000E+0,34.5023E-12
32.5683E-12,-2.0000E+0,33.4906E-12
37.4399E-12,-2.5000E+0,32.8937E-12
35.6042E-12,-3.0000E+0,32.4890E-12
38.7511E-12,-3.5000E+0,32.4080E-12
35.2613E-12,-4.0000E+0,32.3777E-12
37.2886E-12,-4.5000E+0,31.9527E-12
34.3233E-12,-5.0000E+0,31.6087E-12
36.7137E-12,-5.5000E+0,30.9815E-12
38.9226E-12,-6.0000E+0,29.7977E-12
38.2267E-12,-6.5000E+0,30.1619E-12
37.8131E-12,-7.0000E+0,30.0304E-12
33.8089E-12,-7.5000E+0,29.3019E-12
37.3290E-12,-8.0000E+0,29.3930E-12
33.9400E-12,-8.5000E+0,29.4841E-12
37.5811E-12,-9.0000E+0,29.5954E-12
35.5135E-12,-9.5000E+0,29.1097E-12
40.4759E-12,-10.0000E+0,29.0490E-12
38.0955E-12,-10.5000E+0,28.6241E-12
37.1979E-12,-11.0000E+0,28.5431E-12
33.4357E-12,-11.5000E+0,28.4723E-12
34.0913E-12,-12.0000E+0,28.3711E-12
30.4703E-12,-12.5000E+0,27.9462E-12
32.0035E-12,-13.0000E+0,28.7657E-12
33.9804E-12,-13.5000E+0,28.2801E-12
33.7484E-12,-14.0000E+0,27.5719E-12
33.1029E-12,-14.5000E+0,27.7034E-12
33.5063E-12,-15.0000E+0,27.1975E-12
33.9602E-12,-15.5000E+0,26.8232E-12
31.6000E-12,-16.0000E+0,27.1672E-12
29.8349E-12,-16.5000E+0,27.3493E-12
30.7225E-12,-17.0000E+0,27.2886E-12
29.3104E-12,-17.5000E+0,27.2886E-12
32.2455E-12,-18.0000E+0,27.4707E-12
31.2369E-12,-18.5000E+0,27.0457E-12
33.3550E-12,-19.0000E+0,26.9041E-12
29.5828E-12,-19.5000E+0,26.8940E-12
29.8853E-12,-20.0000E+0,27.1975E-12
