GateV,DrainI
-20.0000E+0,1.3095E-6
-19.5000E+0,1.3106E-6
-19.0000E+0,1.3114E-6
-18.5000E+0,1.3125E-6
-18.0000E+0,1.3141E-6
-17.5000E+0,1.3182E-6
-17.0000E+0,1.3280E-6
-16.5000E+0,1.3496E-6
-16.0000E+0,1.3910E-6
-15.5000E+0,1.4614E-6
-15.0000E+0,1.5726E-6
-14.5000E+0,1.7355E-6
-14.0000E+0,1.9622E-6
-13.5000E+0,2.2668E-6
-13.0000E+0,2.6584E-6
-12.5000E+0,3.1519E-6
-12.0000E+0,3.7597E-6
-11.5000E+0,4.4927E-6
-11.0000E+0,5.3598E-6
-10.5000E+0,6.3723E-6
-10.0000E+0,7.5359E-6
-9.5000E+0,8.8921E-6
-9.0000E+0,10.3764E-6
-8.5000E+0,12.0899E-6
-8.0000E+0,13.9998E-6
-7.5000E+0,16.1146E-6
-7.0000E+0,18.4242E-6
-6.5000E+0,20.9499E-6
-6.0000E+0,23.7080E-6
-5.5000E+0,26.7178E-6
-5.0000E+0,29.9229E-6
-4.5000E+0,33.4100E-6
-4.0000E+0,37.1798E-6
-3.5000E+0,41.1699E-6
-3.0000E+0,45.4295E-6
-2.5000E+0,49.9301E-6
-2.0000E+0,54.6455E-6
-1.5000E+0,59.5804E-6
-1.0000E+0,64.7526E-6
-500.0000E-3,70.0181E-6
000.0000E-3,75.3868E-6
500.0000E-3,80.7614E-6
1.0000E+0,85.9769E-6
1.5000E+0,90.5707E-6
2.0000E+0,94.2488E-6
2.5000E+0,96.3147E-6
3.0000E+0,97.0239E-6
3.5000E+0,97.3698E-6
4.0000E+0,98.3101E-6
4.5000E+0,100.5956E-6
5.0000E+0,104.4221E-6
5.5000E+0,109.4685E-6
6.0000E+0,115.4136E-6
6.5000E+0,121.9466E-6
7.0000E+0,128.9093E-6
7.5000E+0,136.4636E-6
8.0000E+0,144.4986E-6
8.5000E+0,152.8011E-6
9.0000E+0,161.5816E-6
9.5000E+0,170.6610E-6
10.0000E+0,180.0488E-6
10.5000E+0,189.8710E-6
11.0000E+0,200.0031E-6
11.5000E+0,210.5921E-6
12.0000E+0,221.4331E-6
12.5000E+0,232.5564E-6
13.0000E+0,243.9063E-6
13.5000E+0,255.7046E-6
14.0000E+0,267.6565E-6
14.5000E+0,279.9666E-6
15.0000E+0,292.7381E-6
15.5000E+0,305.6767E-6
16.0000E+0,318.7165E-6
16.5000E+0,332.2546E-6
17.0000E+0,345.9214E-6
17.5000E+0,360.0605E-6
18.0000E+0,374.1006E-6
18.5000E+0,388.6890E-6
19.0000E+0,403.4806E-6
19.5000E+0,418.4238E-6
20.0000E+0,433.5098E-6
20.0000E+0,433.6046E-6
19.5000E+0,417.6428E-6
19.0000E+0,401.9527E-6
18.5000E+0,386.9169E-6
18.0000E+0,372.1602E-6
17.5000E+0,357.8765E-6
17.0000E+0,343.8519E-6
16.5000E+0,329.7509E-6
16.0000E+0,316.2361E-6
15.5000E+0,303.0721E-6
15.0000E+0,290.0974E-6
14.5000E+0,277.4463E-6
14.0000E+0,264.9715E-6
13.5000E+0,252.8339E-6
13.0000E+0,240.9997E-6
12.5000E+0,229.6793E-6
12.0000E+0,218.7686E-6
11.5000E+0,208.0333E-6
11.0000E+0,197.4545E-6
10.5000E+0,187.3947E-6
10.0000E+0,177.6194E-6
9.5000E+0,168.1614E-6
9.0000E+0,159.1032E-6
8.5000E+0,150.3393E-6
8.0000E+0,142.2051E-6
7.5000E+0,134.1636E-6
7.0000E+0,126.6525E-6
6.5000E+0,119.6896E-6
6.0000E+0,113.2810E-6
5.5000E+0,107.4714E-6
5.0000E+0,102.5887E-6
4.5000E+0,98.9195E-6
4.0000E+0,96.8048E-6
3.5000E+0,95.9467E-6
3.0000E+0,95.5983E-6
2.5000E+0,94.8434E-6
2.0000E+0,92.6546E-6
1.5000E+0,88.7619E-6
1.0000E+0,83.9502E-6
500.0000E-3,78.7565E-6
000.0000E-3,73.3892E-6
-500.0000E-3,68.1602E-6
-1.0000E+0,62.9523E-6
-1.5000E+0,57.8295E-6
-2.0000E+0,53.0452E-6
-2.5000E+0,48.3903E-6
-3.0000E+0,43.9747E-6
-3.5000E+0,39.8051E-6
-4.0000E+0,35.8836E-6
-4.5000E+0,32.2582E-6
-5.0000E+0,28.8593E-6
-5.5000E+0,25.7463E-6
-6.0000E+0,22.8037E-6
-6.5000E+0,20.1587E-6
-7.0000E+0,17.7096E-6
-7.5000E+0,15.4886E-6
-8.0000E+0,13.4512E-6
-8.5000E+0,11.6050E-6
-9.0000E+0,9.9748E-6
-9.5000E+0,8.5200E-6
-10.0000E+0,7.2292E-6
-10.5000E+0,6.1510E-6
-11.0000E+0,5.1772E-6
-11.5000E+0,4.3448E-6
-12.0000E+0,3.6447E-6
-12.5000E+0,3.0659E-6
-13.0000E+0,2.5988E-6
-13.5000E+0,2.2266E-6
-14.0000E+0,1.9408E-6
-14.5000E+0,1.7281E-6
-15.0000E+0,1.5770E-6
-15.5000E+0,1.4749E-6
-16.0000E+0,1.4099E-6
-16.5000E+0,1.3736E-6
-17.0000E+0,1.3550E-6
-17.5000E+0,1.3471E-6
-18.0000E+0,1.3445E-6
-18.5000E+0,1.3439E-6
-19.0000E+0,1.3438E-6
-19.5000E+0,1.3439E-6
-20.0000E+0,1.3440E-6
