GateV,DrainI
-20.0000E+0,199.9844E-9
-19.5000E+0,200.1115E-9
-19.0000E+0,200.2542E-9
-18.5000E+0,200.3802E-9
-18.0000E+0,200.5517E-9
-17.5000E+0,200.6591E-9
-17.0000E+0,200.7618E-9
-16.5000E+0,200.8895E-9
-16.0000E+0,200.9911E-9
-15.5000E+0,201.0830E-9
-15.0000E+0,201.2015E-9
-14.5000E+0,201.2809E-9
-14.0000E+0,201.3697E-9
-13.5000E+0,201.4599E-9
-13.0000E+0,201.5515E-9
-12.5000E+0,201.6229E-9
-12.0000E+0,201.7055E-9
-11.5000E+0,201.7903E-9
-11.0000E+0,201.8712E-9
-10.5000E+0,201.9300E-9
-10.0000E+0,202.0173E-9
-9.5000E+0,202.2051E-9
-9.0000E+0,202.7820E-9
-8.5000E+0,204.9608E-9
-8.0000E+0,212.0764E-9
-7.5000E+0,228.9332E-9
-7.0000E+0,263.0717E-9
-6.5000E+0,318.0627E-9
-6.0000E+0,407.1614E-9
-5.5000E+0,534.7082E-9
-5.0000E+0,709.4542E-9
-4.5000E+0,908.6718E-9
-4.0000E+0,1.1853E-6
-3.5000E+0,1.5174E-6
-3.0000E+0,1.8990E-6
-2.5000E+0,2.3408E-6
-2.0000E+0,2.9180E-6
-1.5000E+0,3.5795E-6
-1.0000E+0,4.2455E-6
-500.0000E-3,4.9920E-6
000.0000E-3,5.8039E-6
500.0000E-3,6.6559E-6
1.0000E+0,7.5710E-6
1.5000E+0,8.4247E-6
2.0000E+0,9.1659E-6
2.5000E+0,9.9008E-6
3.0000E+0,10.7956E-6
3.5000E+0,11.8036E-6
4.0000E+0,13.0137E-6
4.5000E+0,14.3868E-6
5.0000E+0,15.7813E-6
5.5000E+0,17.3172E-6
6.0000E+0,18.9651E-6
6.5000E+0,20.6385E-6
7.0000E+0,22.5405E-6
7.5000E+0,24.4146E-6
8.0000E+0,26.6081E-6
8.5000E+0,28.8929E-6
9.0000E+0,31.2363E-6
9.5000E+0,33.8523E-6
10.0000E+0,36.5282E-6
10.5000E+0,39.3568E-6
11.0000E+0,42.2698E-6
11.5000E+0,45.5287E-6
12.0000E+0,48.7918E-6
12.5000E+0,52.3153E-6
13.0000E+0,55.7880E-6
13.5000E+0,59.2041E-6
14.0000E+0,63.6067E-6
14.5000E+0,67.5157E-6
15.0000E+0,72.1111E-6
15.5000E+0,76.5600E-6
16.0000E+0,81.2993E-6
16.5000E+0,85.9620E-6
17.0000E+0,90.6507E-6
17.5000E+0,94.7498E-6
18.0000E+0,100.0041E-6
18.5000E+0,105.1693E-6
19.0000E+0,110.8138E-6
19.5000E+0,116.4992E-6
20.0000E+0,120.7127E-6
20.0000E+0,120.9255E-6
19.5000E+0,115.0951E-6
19.0000E+0,109.6894E-6
18.5000E+0,103.0001E-6
18.0000E+0,97.1703E-6
17.5000E+0,91.9705E-6
17.0000E+0,87.6872E-6
16.5000E+0,81.7801E-6
16.0000E+0,77.6584E-6
15.5000E+0,73.2187E-6
15.0000E+0,69.2192E-6
14.5000E+0,65.2721E-6
14.0000E+0,61.1599E-6
13.5000E+0,57.3420E-6
13.0000E+0,53.7307E-6
12.5000E+0,50.1889E-6
12.0000E+0,46.8853E-6
11.5000E+0,43.9167E-6
11.0000E+0,40.6705E-6
10.5000E+0,37.7919E-6
10.0000E+0,35.2153E-6
9.5000E+0,32.6885E-6
9.0000E+0,30.1355E-6
8.5000E+0,27.9574E-6
8.0000E+0,25.7164E-6
7.5000E+0,23.6342E-6
7.0000E+0,21.6788E-6
6.5000E+0,19.7841E-6
6.0000E+0,18.1633E-6
5.5000E+0,16.5399E-6
5.0000E+0,15.0035E-6
4.5000E+0,13.6954E-6
4.0000E+0,12.4082E-6
3.5000E+0,11.2493E-6
3.0000E+0,10.2187E-6
2.5000E+0,9.3254E-6
2.0000E+0,8.5834E-6
1.5000E+0,7.7770E-6
1.0000E+0,6.9516E-6
500.0000E-3,6.0743E-6
000.0000E-3,5.2541E-6
-500.0000E-3,4.5287E-6
-1.0000E+0,3.8585E-6
-1.5000E+0,3.2480E-6
-2.0000E+0,2.6953E-6
-2.5000E+0,2.2088E-6
-3.0000E+0,1.7820E-6
-3.5000E+0,1.4150E-6
-4.0000E+0,1.1007E-6
-4.5000E+0,863.7811E-9
-5.0000E+0,668.6178E-9
-5.5000E+0,508.9738E-9
-6.0000E+0,395.6713E-9
-6.5000E+0,314.1884E-9
-7.0000E+0,257.5260E-9
-7.5000E+0,226.3080E-9
-8.0000E+0,210.8463E-9
-8.5000E+0,205.7352E-9
-9.0000E+0,203.8642E-9
-9.5000E+0,203.4781E-9
-10.0000E+0,203.4769E-9
-10.5000E+0,203.4921E-9
-11.0000E+0,203.5228E-9
-11.5000E+0,203.5767E-9
-12.0000E+0,203.6455E-9
-12.5000E+0,203.7037E-9
-13.0000E+0,203.7679E-9
-13.5000E+0,203.8337E-9
-14.0000E+0,203.8854E-9
-14.5000E+0,203.9291E-9
-15.0000E+0,203.9684E-9
-15.5000E+0,204.0416E-9
-16.0000E+0,204.1096E-9
-16.5000E+0,204.1535E-9
-17.0000E+0,204.2152E-9
-17.5000E+0,204.2816E-9
-18.0000E+0,204.3308E-9
-18.5000E+0,204.3740E-9
-19.0000E+0,204.4417E-9
-19.5000E+0,204.4908E-9
-20.0000E+0,204.5736E-9
