GateV,DrainI
-20.0000E+0,14.6439E-9
-19.5000E+0,14.6351E-9
-19.0000E+0,14.6371E-9
-18.5000E+0,14.6481E-9
-18.0000E+0,14.6632E-9
-17.5000E+0,14.6691E-9
-17.0000E+0,14.6810E-9
-16.5000E+0,14.6921E-9
-16.0000E+0,14.7024E-9
-15.5000E+0,14.7129E-9
-15.0000E+0,14.7221E-9
-14.5000E+0,14.7347E-9
-14.0000E+0,14.7418E-9
-13.5000E+0,14.7537E-9
-13.0000E+0,14.7603E-9
-12.5000E+0,14.7673E-9
-12.0000E+0,14.7862E-9
-11.5000E+0,14.7885E-9
-11.0000E+0,14.7975E-9
-10.5000E+0,14.8055E-9
-10.0000E+0,14.8152E-9
-9.5000E+0,14.8237E-9
-9.0000E+0,14.8307E-9
-8.5000E+0,14.8376E-9
-8.0000E+0,14.8445E-9
-7.5000E+0,14.8500E-9
-7.0000E+0,14.8592E-9
-6.5000E+0,14.8636E-9
-6.0000E+0,14.8701E-9
-5.5000E+0,14.8764E-9
-5.0000E+0,14.8838E-9
-4.5000E+0,14.8905E-9
-4.0000E+0,14.8955E-9
-3.5000E+0,14.9261E-9
-3.0000E+0,16.3754E-9
-2.5000E+0,25.7698E-9
-2.0000E+0,52.4305E-9
-1.5000E+0,104.0248E-9
-1.0000E+0,185.6397E-9
-500.0000E-3,299.7805E-9
000.0000E-3,447.6855E-9
500.0000E-3,629.6763E-9
1.0000E+0,845.2260E-9
1.5000E+0,1.1011E-6
2.0000E+0,1.3729E-6
2.5000E+0,1.6903E-6
3.0000E+0,2.0466E-6
3.5000E+0,2.4436E-6
4.0000E+0,2.8843E-6
4.5000E+0,3.3727E-6
5.0000E+0,3.9016E-6
5.5000E+0,4.4845E-6
6.0000E+0,5.1332E-6
6.5000E+0,5.8270E-6
7.0000E+0,6.5833E-6
7.5000E+0,7.3948E-6
8.0000E+0,8.2578E-6
8.5000E+0,9.1855E-6
9.0000E+0,10.1910E-6
9.5000E+0,11.2745E-6
10.0000E+0,12.4682E-6
10.5000E+0,13.7425E-6
11.0000E+0,15.1200E-6
11.5000E+0,16.4470E-6
12.0000E+0,17.8688E-6
12.5000E+0,19.7226E-6
13.0000E+0,21.5146E-6
13.5000E+0,23.3715E-6
14.0000E+0,25.3654E-6
14.5000E+0,27.3836E-6
15.0000E+0,29.9352E-6
15.5000E+0,33.3193E-6
16.0000E+0,35.9381E-6
16.5000E+0,38.5708E-6
17.0000E+0,41.6196E-6
17.5000E+0,44.8585E-6
18.0000E+0,47.9601E-6
18.5000E+0,51.8889E-6
19.0000E+0,55.6000E-6
19.5000E+0,59.4897E-6
20.0000E+0,63.5815E-6
20.0000E+0,63.3626E-6
19.5000E+0,59.2624E-6
19.0000E+0,55.4023E-6
18.5000E+0,51.7024E-6
18.0000E+0,48.0912E-6
17.5000E+0,44.7366E-6
17.0000E+0,41.5026E-6
16.5000E+0,38.4604E-6
16.0000E+0,35.6451E-6
15.5000E+0,32.9740E-6
15.0000E+0,30.4696E-6
14.5000E+0,28.1312E-6
14.0000E+0,25.9279E-6
13.5000E+0,23.8405E-6
13.0000E+0,21.8716E-6
12.5000E+0,20.0573E-6
12.0000E+0,18.3371E-6
11.5000E+0,16.7413E-6
11.0000E+0,15.2455E-6
10.5000E+0,13.8580E-6
10.0000E+0,12.5613E-6
9.5000E+0,11.3509E-6
9.0000E+0,10.2166E-6
8.5000E+0,9.1663E-6
8.0000E+0,8.1983E-6
7.5000E+0,7.3069E-6
7.0000E+0,6.4646E-6
6.5000E+0,5.7162E-6
6.0000E+0,5.0155E-6
5.5000E+0,4.3722E-6
5.0000E+0,3.7820E-6
4.5000E+0,3.2494E-6
4.0000E+0,2.7684E-6
3.5000E+0,2.3326E-6
3.0000E+0,1.9421E-6
2.5000E+0,1.5925E-6
2.0000E+0,1.2819E-6
1.5000E+0,1.0081E-6
1.0000E+0,768.8548E-9
500.0000E-3,557.6275E-9
000.0000E-3,392.3537E-9
-500.0000E-3,257.5842E-9
-1.0000E+0,155.6993E-9
-1.5000E+0,85.3745E-9
-2.0000E+0,42.5448E-9
-2.5000E+0,21.9162E-9
-3.0000E+0,15.2844E-9
-3.5000E+0,14.4711E-9
-4.0000E+0,14.4783E-9
-4.5000E+0,14.4952E-9
-5.0000E+0,14.5136E-9
-5.5000E+0,14.5325E-9
-6.0000E+0,14.5505E-9
-6.5000E+0,14.5667E-9
-7.0000E+0,14.5831E-9
-7.5000E+0,14.5981E-9
-8.0000E+0,14.6129E-9
-8.5000E+0,14.6276E-9
-9.0000E+0,14.6420E-9
-9.5000E+0,14.6557E-9
-10.0000E+0,14.6682E-9
-10.5000E+0,14.6796E-9
-11.0000E+0,14.6923E-9
-11.5000E+0,14.7049E-9
-12.0000E+0,14.7173E-9
-12.5000E+0,14.7275E-9
-13.0000E+0,14.7384E-9
-13.5000E+0,14.7489E-9
-14.0000E+0,14.7575E-9
-14.5000E+0,14.7675E-9
-15.0000E+0,14.7780E-9
-15.5000E+0,14.7870E-9
-16.0000E+0,14.7949E-9
-16.5000E+0,14.8037E-9
-17.0000E+0,14.8130E-9
-17.5000E+0,14.8219E-9
-18.0000E+0,14.8308E-9
-18.5000E+0,14.8390E-9
-19.0000E+0,14.8471E-9
-19.5000E+0,14.8560E-9
-20.0000E+0,14.8633E-9
